Commercial;Client;Projet;Segment;Ville;Région;Pays;Potentiel (MAD);Probabilité;Pondéré (auto);Commentaire terrain;Statut;Prochaine Action;Date Action;Priorité (auto);? Alerte (auto);Date Closing Est.;Bucket Temporel (auto);Risque;Dernière MAJ;Score Priorité (auto);? Alertes V2 (renforcées);
Bruno;GROUPE AHOCIENIA;HOTEL;Hospitality;Casablanca;Casablanca-Settat;Maroc;5 000 000;50%;2 500 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/04/2026;Dépassé;;;16;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Ibtissam;AEM;190 APPRTEMENT;Residential;Casablanca;Casablanca-Settat;Maroc;5 000 000;80%;4 000 000;TEMOIN LIVRE FAUX CADRE LIVRES/ REUNION A FIXER AU CHANTIER POUR VOIR L ETAT D AVANCEMENT ET PREVOIR PLANING;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;18/06/2026;Dépassé;;;31;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;ALLALI/PROBATIM;EVERGREEN;Residential;CASABLANCA;Casablanca-Settat;Maroc;4 850 000;100%;4 850 000;;Gagné;;;HIGH;;30/04/2026;Dépassé;;;37;;
Bruno;SEG;ZAER CUISINE;Residential;RABAT;Rabat-Salé-Kénitra;Maroc;4 685 000;10%;468 500;;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;AGADIR BAY;RESIDENTIEL Q 63;Residential;AGADIR;Souss-Massa;Maroc;4 585 325;80%;3 668 260;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/06/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;TGCC;RESIDENCE FERMEE EN VILLAS BENGUERIR LOT BOIS;Residential;BEN GUERIR;Marrakech-Safi;Maroc;4 529 366;80%;3 623 493;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;01/09/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Amine;KAYAZ INVEST;GROUPEMENT HABITAT AIN SEBAA;Residential;Casablanca;Casablanca-Settat;Maroc;3 000 000;10%;300 000;PRIS DE CONTACT AVEC DT DE PROJET ,TEMOIN POSER PAR CONCURRENCE , DANS ATTENT DE CONSULTATION (RESPONSABLE PROJET GROUPE);Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/05/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;GROUPE BALBACHIR;TOUR MALABATA TANGER;Residential;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;3 000 000;10%;300 000;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION ,RDV DEBUS AVRIL POUR RELANCER LE CLIENT (RESPONSABLE ACHAT);Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/05/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;SGTM;AEREPORT AGADIR;Industrial & Logistics;Agadir;Souss-Massa;Maroc;2 500 000;10%;250 000;PREMIER OFFRE ENVOYER LE MERCREDI DERNIER , ATTEND RETOUR CLIENT ET DECLANCHER UNE REUNION DE PRESENTATION OFFRE ET NEGOCIATION;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/05/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;FERMABAT;DIVERS IMB;Residential;MARRAKECH;Marrakech-Safi;Maroc;4 000 000;50%;2 000 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/04/2026;Dépassé;;;12;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;TGCC;ARZANA VILLA;Residential;RABAT;Rabat-Salé-Kénitra;Maroc;3 850 000;10%;385 000;;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/04/2026;Dépassé;;;-3;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Taoufik;RCHFORET;CASA ECOLE HASANIA;Residential;Casablanca;Casablanca-Settat;Maroc;3 800 000;80%;3 040 000;le devis déjà valide fin construction mois MAI;Négociation;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;18/06/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;CGI;VILLAS TAGHAZOUT BAY P25.1;Residential;AGADIR;Souss-Massa;Maroc;3 629 629;0%;0;;Perdu;;;;;01/09/2026;Dépassé;;;0;;
Bruno;CGI;R5 CUISINE;Residential;MARRAKECH;Marrakech-Safi;Maroc;3 600 000;80%;2 880 000;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/08/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;CGI;R5 BOIS;Residential;MARRAKECH;Marrakech-Safi;Maroc;3 578 000;80%;2 862 400;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/04/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;AGADIR BAY;RESIDENTIEL Q 62;Residential;AGADIR;Souss-Massa;Maroc;3 321 089;80%;2 656 871;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/06/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;GROUPE AHOCIENIA;CABO CUISINE;Residential;TETOUAN;Tanger-Tétouan-Al Hoceïma;Maroc;3 273 000;80%;2 618 400;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/06/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Taoufik;GROUPE GEDAF SETTAT;SETTAT;Institutional;Settat;Casablanca-Settat;Maroc;3 200 000;80%;2 560 000;reste validation de devis;Négociation;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;18/06/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
